                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4578,                 1.4202,                 1.5471,                0.47752,                0.60932,                0.46898,                0.28703,                 1.2786,                 2.0987,                 1.3693,                0.00032,                0.00032,                0.00032
                      2,                 1.1298,                 1.1362,                 1.2672,                0.53263,                0.63318,                0.61186,                0.39449,                 1.2963,                 1.5757,                 1.3539,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.0778,                 1.0759,                 1.2425,                 0.5519,                0.51389,                0.50643,                0.31051,                  1.266,                 3.8836,                 1.3219,              0.0009604,              0.0009604,              0.0009604
                      4,                  1.129,                 1.1587,                 1.2659,                0.64081,                0.66667,                0.67216,                0.38975,                 1.4622,                 2.0664,                 1.4517,              0.0012604,              0.0012604,              0.0012604
                      5,                 1.1013,                 1.0733,                  1.243,                0.73044,                0.61111,                0.66917,                0.41794,                 1.3858,                 1.3217,                 1.3952,              0.0015469,              0.0015469,              0.0015469
                      6,                 1.1551,                 1.1922,                 1.2833,                0.70903,                0.44444,                0.59165,                0.34479,                 1.3665,                 1.8428,                 1.4919,               0.001802,               0.001802,               0.001802
                      7,                 1.0899,                 1.1421,                 1.2565,                0.73963,                0.51292,                0.64226,                0.40777,                 1.2637,                 1.4706,                 1.3601,               0.001802,               0.001802,               0.001802
                      8,                 1.0857,                  1.063,                 1.2358,                0.64047,                0.59722,                0.63178,                0.40893,                 1.4103,                 1.5262,                 1.5268,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0277,                0.98626,                 1.2232,                0.77121,                0.56944,                0.63089,                0.43028,                 1.3093,                 1.3939,                 1.3901,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0341,                0.97088,                 1.2004,                0.73565,                0.66667,                0.68118,                0.44074,                 1.2698,                 1.3125,                 1.3525,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0533,                 1.0271,                 1.2256,                0.84459,                0.61111,                0.72544,                 0.4818,                 1.2477,                 1.0364,                 1.3375,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0338,                 0.9783,                 1.2024,                0.79856,                0.65278,                0.75985,                0.48916,                 1.2459,                 1.2627,                 1.3108,               0.001604,               0.001604,               0.001604
                     13,                 1.0258,                0.94719,                 1.1995,                0.79231,                0.63584,                0.73986,                0.50748,                 1.1459,                  1.176,                 1.2192,              0.0015644,              0.0015644,              0.0015644
                     14,                0.96282,                0.87648,                 1.1678,                0.79478,                0.66667,                0.72784,                 0.4687,                 1.2425,                 1.2065,                 1.2674,              0.0015248,              0.0015248,              0.0015248
                     15,                 0.9566,                0.89779,                  1.182,                0.80503,                0.66667,                0.71985,                0.49517,                  1.131,                 1.1344,                 1.2378,              0.0014852,              0.0014852,              0.0014852
                     16,                0.96603,                0.92192,                 1.1848,                0.76119,                0.65278,                0.69722,                0.46324,                 1.1536,                 1.5079,                  1.268,              0.0014456,              0.0014456,              0.0014456
                     17,                0.96039,                0.93264,                 1.1392,                0.71268,                0.58333,                0.60311,                 0.3864,                 1.1387,                 1.8534,                 1.2958,               0.001406,               0.001406,               0.001406
